IDAtracacao;CDTUP;Porto Atracação;Coordenadas;Data Atracação;Data Chegada;Data Desatracação;Data Início Operação;Data Término Operação;Tipo de Navegação da Atracação;SGUF;Nº do IMO
1618801;BRSSZ;Santos;-46.301939,-23.966053;30/09/2025;29/09/2025;30/09/2025;30/09/2025;30/09/2025;Cabotagem;SP;9612791
1625119;BRSUA;Suape;-34.968611,-8.391944000000001;05/10/2025;04/10/2025;06/10/2025;05/10/2025;06/10/2025;Cabotagem;PE;9612791
1625546;BRCE001;Terminal Portuário do Pecém;-38.7965,-3.52703;08/10/2025;07/10/2025;08/10/2025;08/10/2025;08/10/2025;Cabotagem;CE;9612791
1620276;BRAM012;Super Terminais Comércio e Indústria;-59.999,-3.157;13/10/2025;13/10/2025;17/10/2025;14/10/2025;16/10/2025;Interior;AM;9612791
1554363;BRSSZ;Santos;-46.301939,-23.966053;18/03/2025;18/03/2025;19/03/2025;18/03/2025;18/03/2025;Cabotagem;SP;9612791
1551571;BRITJ;Itajaí;-48.666389,-26.90083200000001;19/03/2025;19/03/2025;20/03/2025;19/03/2025;20/03/2025;Cabotagem;SC;9612791
1552290;BRPNG;Paranaguá;-48.505555,-25.502221;20/03/2025;20/03/2025;21/03/2025;20/03/2025;21/03/2025;Cabotagem;PR;9612791
1552896;BRSUA;Suape;-34.968611,-8.391944000000001;26/03/2025;26/03/2025;26/03/2025;26/03/2025;26/03/2025;Cabotagem;PE;9612791
1553033;BRCE001;Terminal Portuário do Pecém;-38.7965,-3.52703;28/03/2025;28/03/2025;28/03/2025;28/03/2025;28/03/2025;Cabotagem;CE;9612791
1556870;BRAM012;Super Terminais Comércio e Indústria;-59.999,-3.157;02/04/2025;02/04/2025;06/04/2025;02/04/2025;05/04/2025;Interior;AM;9612791
1574875;BRSSZ;Santos;-46.301939,-23.966053;14/05/2025;14/05/2025;16/05/2025;14/05/2025;16/05/2025;Cabotagem;SP;9539494
1572730;BRSC011;Porto Itapoá Terminais Portuários;-48.606,-26.183;17/05/2025;17/05/2025;18/05/2025;17/05/2025;17/05/2025;Longo Curso;SC;9539494
1634895;BRRIO;Rio de Janeiro;-43.195278,-22.892222;18/05/2025;18/05/2025;19/05/2025;18/05/2025;19/05/2025;Longo Curso;RJ;9539494
1572547;BRSUA;Suape;-34.968611,-8.391944000000001;22/05/2025;22/05/2025;22/05/2025;22/05/2025;22/05/2025;Cabotagem;PE;9539494
1576761;BRCE001;Terminal Portuário do Pecém;-38.7965,-3.52703;24/05/2025;24/05/2025;24/05/2025;24/05/2025;24/05/2025;Cabotagem;CE;9539494
1581350;BRAM006;Porto Chibatão;-59.991,-3.16;29/05/2025;29/05/2025;01/06/2025;29/05/2025;01/06/2025;Cabotagem;AM;9539494
1584504;BRSSZ;Santos;-46.301939,-23.966053;25/06/2025;25/06/2025;27/06/2025;25/06/2025;26/06/2025;Cabotagem;SP;9649835
1583632;BRSC011;Porto Itapoá Terminais Portuários;-48.606,-26.183;30/06/2025;27/06/2025;02/07/2025;01/07/2025;02/07/2025;Longo Curso;SC;9649835
1589007;BRSUA;Suape;-34.968611,-8.391944000000001;09/07/2025;05/07/2025;10/07/2025;09/07/2025;10/07/2025;Cabotagem;PE;9649835
1591152;BRCE001;Terminal Portuário do Pecém;-38.7965,-3.52703;12/07/2025;11/07/2025;12/07/2025;12/07/2025;12/07/2025;Cabotagem;CE;9649835
1591189;BRAM006;Porto Chibatão;-59.991,-3.16;17/07/2025;17/07/2025;20/07/2025;17/07/2025;20/07/2025;Cabotagem;AM;9649835
1555887;BRSSZ;Santos;-46.301939,-23.966053;28/03/2025;26/03/2025;29/03/2025;29/03/2025;29/03/2025;Longo Curso;SP;9343974
1553850;BRSC011;Porto Itapoá Terminais Portuários;-48.606,-26.183;31/03/2025;30/03/2025;31/03/2025;31/03/2025;31/03/2025;Longo Curso;SC;9343974
1561996;BRPNG;Paranaguá;-48.505555,-25.502221;05/04/2025;01/04/2025;05/04/2025;05/04/2025;05/04/2025;Longo Curso;PR;9343974
1570775;BRSUA;Suape;-34.968611,-8.391944000000001;11/05/2025;10/05/2025;12/05/2025;11/05/2025;12/05/2025;Longo Curso;PE;9343974
1572239;BRAM006;Porto Chibatão;-59.991,-3.16;18/05/2025;18/05/2025;20/05/2025;18/05/2025;20/05/2025;Cabotagem;AM;9343974
