IDAtracacao;Tipo Navegação;TEU;Natureza da Carga;Carga Geral Acondicionamento;VLPesoCargaBruta;Sentido;Origem;Destino
1618801;Cabotagem;5;Carga Conteinerizada;Conteinerizada;125;Embarcados;BRSSZ;BRMAO
1618801;Cabotagem;614;Carga Conteinerizada;Conteinerizada;7425,21;Embarcados;BRSSZ;BRMAO
1618801;Cabotagem;2;Carga Conteinerizada;Conteinerizada;12,74;Embarcados;BRSSZ;BRCE001
1618801;Cabotagem;30;Carga Conteinerizada;Conteinerizada;366,07;Embarcados;BRSSZ;BRCE001
1618801;Cabotagem;198;Carga Conteinerizada;Conteinerizada;1531,21;Embarcados;BRSSZ;BRSUA
1618801;Cabotagem;16;Carga Conteinerizada;Conteinerizada;400;Embarcados;BRSSZ;BRSUA
1618801;Cabotagem;1;Carga Conteinerizada;Conteinerizada;21,63;Embarcados;BRSSZ;BRMAO
1625119;Cabotagem;6;Carga Conteinerizada;Conteinerizada;122,567;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;1;Carga Conteinerizada;Conteinerizada;15,248;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;44,976;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;6;Carga Conteinerizada;Conteinerizada;122,39;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;6;Carga Conteinerizada;Conteinerizada;157,82;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;6;Carga Conteinerizada;Conteinerizada;144,35;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;44;Carga Conteinerizada;Conteinerizada;1110,735;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;44,09;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;1;Carga Conteinerizada;Conteinerizada;28,335;Desembarcados;BRITJ;BRSUA
1625119;Cabotagem;8;Carga Conteinerizada;Conteinerizada;219,082;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;5;Carga Conteinerizada;Conteinerizada;119,342;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;6;Carga Conteinerizada;Conteinerizada;136,65;Desembarcados;BRSSZ;BRSUA
1625119;Cabotagem;16;Carga Conteinerizada;Conteinerizada;436,1;Desembarcados;BRSSZ;BRSUA
1625119;Cabotagem;24;Carga Conteinerizada;Conteinerizada;165,411;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;30,559;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;4;Carga Conteinerizada;Conteinerizada;57,252;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;32,379;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;80;Carga Conteinerizada;Conteinerizada;977,761;Desembarcados;BRITJ;BRSUA
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;6,3;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;206;Carga Conteinerizada;Conteinerizada;2068,521;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;52;Carga Conteinerizada;Conteinerizada;632,371;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;258;Carga Conteinerizada;Conteinerizada;3767,138;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;24,36;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;70;Carga Conteinerizada;Conteinerizada;1013,582;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;32;Carga Conteinerizada;Conteinerizada;316,109;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;4;Carga Conteinerizada;Conteinerizada;55,513;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;30,357;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;8;Carga Conteinerizada;Conteinerizada;127,36;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;12;Carga Conteinerizada;Conteinerizada;183,909;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;32;Carga Conteinerizada;Conteinerizada;386,474;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;12;Carga Conteinerizada;Conteinerizada;128,131;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;31,12;Desembarcados;BRITJ;BRSUA
1625119;Cabotagem;8;Carga Conteinerizada;Conteinerizada;120,558;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;28,8;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;4;Carga Conteinerizada;Conteinerizada;58,5;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;22,233;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;64;Carga Conteinerizada;Conteinerizada;456,765;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;14;Carga Conteinerizada;Conteinerizada;200,455;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;8;Carga Conteinerizada;Conteinerizada;15,8;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;92;Carga Conteinerizada;Conteinerizada;1297,11;Desembarcados;BRSSZ;BRSUA
1625119;Cabotagem;246;Carga Conteinerizada;Conteinerizada;1865,25;Desembarcados;BRSSZ;BRSUA
1625119;Cabotagem;16;Carga Conteinerizada;Conteinerizada;102,68;Desembarcados;BRSSZ;BRSUA
1625119;Cabotagem;198;Carga Conteinerizada;Conteinerizada;1531,21;Desembarcados;BRSSZ;BRSUA
1625119;Cabotagem;4;Carga Conteinerizada;Conteinerizada;56,092;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;18;Carga Conteinerizada;Conteinerizada;216,384;Embarcados;BRSUA;BRMAO
1625119;Cabotagem;30;Carga Conteinerizada;Conteinerizada;389,245;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;34;Carga Conteinerizada;Conteinerizada;418,876;Embarcados;BRSUA;BRCE001
1625119;Cabotagem;18;Carga Conteinerizada;Conteinerizada;258,631;Desembarcados;BRITJ;BRSUA
1625119;Cabotagem;2;Carga Conteinerizada;Conteinerizada;12,638;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;6;Carga Conteinerizada;Conteinerizada;25,59;Desembarcados;BRPNG;BRSUA
1625119;Cabotagem;4;Carga Conteinerizada;Conteinerizada;51,71;Desembarcados;BRPNG;BRSUA
1625546;Cabotagem;23;Carga Conteinerizada;Conteinerizada;745,765;Embarcados;BRCE001;BRMAO
1625546;Cabotagem;1;Carga Conteinerizada;Conteinerizada;23,956;Desembarcados;BRPNG;BRCE001
1625546;Cabotagem;64;Carga Conteinerizada;Conteinerizada;1579,095;Desembarcados;BRSUA;BRCE001
1625546;Cabotagem;2;Carga Conteinerizada;Conteinerizada;61,711;Embarcados;BRCE001;BRMAO
1625546;Cabotagem;3;Carga Conteinerizada;Conteinerizada;57,119;Desembarcados;BRPNG;BRCE001
1625546;Cabotagem;1;Carga Conteinerizada;Conteinerizada;22,811;Desembarcados;BRPNG;BRCE001
1625546;Cabotagem;2;Carga Conteinerizada;Conteinerizada;13,775;Desembarcados;BRSSZ;BRCE001
1625546;Cabotagem;134;Carga Conteinerizada;Conteinerizada;2010,138;Embarcados;BRCE001;BRMAO
1625546;Cabotagem;28;Carga Conteinerizada;Conteinerizada;414,3;Embarcados;BRCE001;BRSSZ
1625546;Cabotagem;10;Carga Conteinerizada;Conteinerizada;123,102;Desembarcados;BRITJ;BRCE001
1625546;Cabotagem;2;Carga Conteinerizada;Conteinerizada;32,119;Desembarcados;BRMAO;BRCE001
1625546;Cabotagem;72;Carga Conteinerizada;Conteinerizada;724,553;Desembarcados;BRPNG;BRCE001
1625546;Cabotagem;118;Carga Conteinerizada;Conteinerizada;1590,081;Desembarcados;BRPNG;BRCE001
1625546;Cabotagem;124;Carga Conteinerizada;Conteinerizada;1596,835;Desembarcados;BRSSZ;BRCE001
1625546;Cabotagem;2;Carga Conteinerizada;Conteinerizada;28,552;Desembarcados;BRSSZ;BRCE001
1625546;Cabotagem;44;Carga Conteinerizada;Conteinerizada;517,057;Desembarcados;BRSUA;BRCE001
1625546;Cabotagem;6;Carga Conteinerizada;Conteinerizada;63,394;Desembarcados;BRSSZ;BRCE001
1625546;Cabotagem;2;Carga Conteinerizada;Conteinerizada;33,6;Desembarcados;BRITJ;BRCE001
1625546;Cabotagem;8;Carga Conteinerizada;Conteinerizada;125,82;Desembarcados;BRITJ;BRCE001
1625546;Cabotagem;16;Carga Conteinerizada;Conteinerizada;255,103;Desembarcados;BRPNG;BRCE001
1625546;Cabotagem;2;Carga Conteinerizada;Conteinerizada;26,336;Desembarcados;BRSSZ;BRCE001
1625546;Cabotagem;64;Carga Conteinerizada;Conteinerizada;811,039;Desembarcados;BRSUA;BRCE001
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;27,11;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,1;Desembarcados;BRCE001;BRAM012
1620276;Cabotagem;1;Carga Conteinerizada;Conteinerizada;30,11;Desembarcados;BRCE001;BRAM012
